name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,total_pieces,target_age,difficulty_level,link_rakuten
バッファローマン,NBCC_118,2021-09-25,105×180×30,56×74×42,230,NA,230,12,3,https://item.rakuten.co.jp/diablock/4972825222034/
キン肉マン,NBCC_117,2021-09-25,105×180×30,63×74×42,200,NA,200,12,3,https://item.rakuten.co.jp/diablock/4972825222027/
ポケットモンスター ポッチャマ,NBPM_079,2021-09-25,105×180×13,52×57×48,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825222683/
ポケットモンスター ヒコザル,NBPM_078,2021-09-25,105×180×13,48×65×48,150,NA,150,12,2,https://item.rakuten.co.jp/diablock/4972825222676/
ポケットモンスター ナエトル,NBPM_077,2021-09-25,105×180×13,36×47×56,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825222669/
ミニナノ　星のカービィ,NBMC_29,2021-09-25,105×180×13,36×30×20,80,6,480,12,NA,https://item.rakuten.co.jp/diablock/4972825222706/
アワードセレクション 和服女子,NBC_358,2021-09-01,105×180×20,52×80×20,90,NA,90,12,2,https://item.rakuten.co.jp/diablock/4972825222874/
Honda スーパーカブ 50 (グリーン),NBC_357,2021-09-01,105×180×13,43×58×84,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825222812/
Honda スーパーカブ 50 (ブルー),NBC_356,2021-09-01,105×180×13,43×58×84,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825222805/
ザトウクジラ,NBC_354,2021-08-07,105×180×13,70×50×130,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825221563/
タツノオトシゴ,NBC_353,2021-08-07,105×180×13,30×100×40,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825221587/
カジキ,NBC_352,2021-08-07,105×180×13,61×140×70,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825221570/
シャチ,NBC_333,2021-08-07,105×180×13,50×50×107,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825219973/
ホホジロザメ,NBC_332,2021-08-07,105×180×13,48×60×120,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825219980/
ミニナノ ピーナッツ vol.2,NBMC_26,2021-08-07,105×180×13,32×41×20,69,NA,69,12,NA,https://item.rakuten.co.jp/diablock/4972825221945/
ミニナノ ポケットモンスター ドラゴンタイプ,NBMC_25,2021-08-07,105×180×13,25×40×40,65,NA,65,12,NA,https://item.rakuten.co.jp/diablock/4972825221952/
ミニナノ PUI PUI モルカー,NBMC_28,2021-07-23,105×180×13,30×23×32,60,6,360,12,NA,https://item.rakuten.co.jp/diablock/4972825222898/
