name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level,link_rakuten
キン肉マン,NBCC_117,2021/9/25,105×180×30 (mm),63×74×42 (mm),200,NA,12,3,https://item.rakuten.co.jp/diablock/4972825222027/
ポケットモンスター ポッチャマ,NBPM_079,2021/9/25,105×180×13 (mm),52×57×48 (mm),170,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222683/
ポケットモンスター ヒコザル,NBPM_078,2021/9/25,105×180×13 (mm),48×65×48 (mm),150,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222676/
ポケットモンスター ナエトル,NBPM_077,2021/9/25,105×180×13 (mm),36×47×56 (mm),130,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222669/
ミニナノ　星のカービィ,NBMC_29,2021/9/25,105×180×13 (mm),"36×30×20 (mm)
 (参考：カービィ)",80 (参考：カービィ),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825222706/
アワードセレクション 和服女子,NBC_358,2021/9/1,105×180×20 (mm),52×80×20 (mm),90,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222874/
Honda スーパーカブ 50 (グリーン),NBC_357,2021/9/1,105×180×13 (mm),43×58×84 (mm),200,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222812/
Honda スーパーカブ 50 (ブルー),NBC_356,2021/9/1,105×180×13 (mm),43×58×84 (mm),200,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222805/
ザトウクジラ,NBC_354,2021/8/7,105×180×13 (mm),70×50×130 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221563/
タツノオトシゴ,NBC_353,2021/8/7,105×180×13 (mm),30×100×40 (mm),130,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221587/
カジキ,NBC_352,2021/8/7,105×180×13 (mm),61×140×70 (mm),170,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221570/
シャチ,NBC_333,2021/8/7,105×180×13 (mm),50×50×107 (mm),140,NA,12,2,https://item.rakuten.co.jp/diablock/4972825219973/
ホホジロザメ,NBC_332,2021/8/7,105×180×13 (mm),48×60×120 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825219980/
ミニナノ ピーナッツ vol.2,NBMC_26,2021/8/7,105×180×13 (mm),"32×41×20 (mm)
 （参考：オラフ）",69 （参考：オラフ）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825221945/
ミニナノ ポケットモンスター ドラゴンタイプ,NBMC_25,2021/8/7,105×180×13 (mm),"25×40×40 (mm)
 （参考：ミニリュウ）",65 （参考：ミニリュウ）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825221952/
