name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
東京駅丸の内駅舎 デラックスエディション,NB-054,2021-09-25,420×210×70,480×110×120,3140,NA,12,5
バッファローマン,NBCC-118,2021-09-25,105×180×30,56×74×42,230,NA,12,3
キン肉マン,NBCC-117,2021-09-25,105×180×30,63×74×42,200,NA,12,3
ポケットモンスター ポッチャマ,NBPM-079,2021-09-25,105×180×13,52×57×48,170,NA,12,2
ポケットモンスター ヒコザル,NBPM-078,2021-09-25,105×180×13,48×65×48,150,NA,12,2
ポケットモンスター ナエトル,NBPM-077,2021-09-25,105×180×13,36×47×56,130,NA,12,2
ミニナノ　星のカービィ,NBMC-29,2021-09-25,105×180×13,36×30×20,80,6,12,NA
厳島神社大鳥居,NBH-222,2021-09-25,140×140×45,80×65×160,470,NA,12,3
アワードセレクション 和服女子,NBC-358,2021-09-01,105×180×20,52×80×20,90,NA,12,2
Honda スーパーカブ 50 (グリーン),NBC-357,2021-09-01,105×180×13,43×58×84,200,NA,12,2
Honda スーパーカブ 50 (ブルー),NBC-356,2021-09-01,105×180×13,43×58×84,200,NA,12,2
mininano PEANUTS vol.2,NBMC-26,2021-08-07,105×180×13,32×41×20,69,NA,12,NA
mininano Pokémon Type: Dragon,NBMC-25,2021-08-07,105×180×13,25×40×40,65,NA,12,NA
ザトウクジラ,NBC-354,2021-08-07,105×180×13,70×50×130,190,NA,12,2
タツノオトシゴ,NBC-353,2021-08-07,105×180×13,30×100×40,130,NA,12,2
カジキ,NBC-352,2021-08-07,105×180×13,61×140×70,170,NA,12,2
シャチ,NBC-333,2021-08-07,105×180×13,50×50×107,140,NA,12,2
ホホジロザメ,NBC-332,2021-08-07,105×180×13,48×60×120,190,NA,12,2
mininano PUI PUI MOLCAR,NBMC-28,2021-07-23,105×180×13,30×23×32,60,6,12,NA
ミニナノ ミッフィー,NBMC-27,2021-07-11,105×180×13,28×50×12,NA,NA,12,NA
Dinosaur Deluxe Edition TYRANNOSAURUS REX,NBM-031,2021-07-03,280×210×45,95×110×270,850,NA,12,4
